naics97,naics02,mappings,wt_mappings
333132,333132,1,1
3332//,3332//,8,1
33321/,33321/,1,1
333210,333210,1,1
33322/,33322/,1,1
333220,333220,1,1
33329/,33329/,6,1
333291,333291,1,1
333292,333292,1,1
333293,333293,1,1
333294,333294,1,1
333295,333295,1,1
333298,333298,1,1
3333//,3333//,6,1
33331/,33331/,6,1
333311,333311,1,1
333312,333312,1,1
333313,333313,1,1
333314,333314,1,1
333315,333315,1,1
333319,333319,1,1
3334//,3334//,4,1
33341/,33341/,4,1
333411,333411,1,1
333412,333412,1,1
333414,333414,1,1
333415,333415,1,1
3335//,3335//,7,1
33351/,33351/,7,1
333511,333511,1,1
333512,333512,1,1
333513,333513,1,1
333514,333514,1,1
333515,333515,1,1
333516,333516,1,1
333518,333518,1,1
3336//,3336//,4,1
33361/,33361/,4,1
333611,333611,1,1
333612,333612,1,1
333613,333613,1,1
333618,333618,1,1
3339//,3339//,15,1
33391/,33391/,3,1
333911,333911,1,1
333912,333912,1,1
333913,333913,1,1
33392/,33392/,4,1
333921,333921,1,1
333922,333922,1,1
333923,333923,1,1
333924,333924,1,1
33399/,33399/,8,1
333991,333991,1,1
333992,333992,1,1
333993,333993,1,1
333994,333994,1,1
333995,333995,1,1
333996,333996,1,1
333997,333997,1,1
333999,333999,1,1
334///,334///,30,1
3341//,3341//,4,1
33411/,33411/,4,1
334111,334111,1,1
334112,334112,1,1
334113,334113,1,1
334119,334119,1,1
3342//,3342//,3,1
33421/,33421/,1,1
334210,334210,1,1
33422/,33422/,1,1
334220,334220,1,1
33429/,33429/,1,1
334290,334290,1,1
3343//,3343//,1,1
33431/,33431/,1,1
334310,334310,1,1
3344//,3344//,9,1
33441/,33441/,9,1
334411,334411,1,1
334412,334412,1,1
334413,334413,1,1
334414,334414,1,1
334415,334415,1,1
334416,334416,1,1
334417,334417,1,1
334418,334418,1,1
334419,334419,1,1
3345//,3345//,10,1
33451/,33451/,10,1
334510,334510,1,1
334511,334511,1,1
334512,334512,1,1
334513,334513,1,1
334514,334514,1,1
334515,334515,1,1
334516,334516,1,1
334517,334517,1,1
334518,334518,1,1
334519,334519,1,1
3346//,3346//,3,1
33461/,33461/,3,1
334611,334611,1,1
334612,334612,1,1
334613,334613,1,1
335///,335///,22,1
3351//,3351//,4,1
33511/,33511/,1,1
335110,335110,1,1
33512/,33512/,3,1
335121,335121,1,1
335122,335122,1,1
335129,335129,1,1
3352//,3352//,6,1
33521/,33521/,2,1
335211,335211,1,1
335212,335212,1,1
33522/,33522/,4,1
335221,335221,1,1
335222,335222,1,1
335224,335224,1,1
335228,335228,1,1
3353//,3353//,4,1
33531/,33531/,4,1
335311,335311,1,1
335312,335312,1,1
335313,335313,1,1
335314,335314,1,1
3359//,3359//,8,1
33591/,33591/,2,1
335911,335911,1,1
335912,335912,1,1
33592/,33592/,2,1
335921,335921,1,1
335929,335929,1,1
33593/,33593/,2,1
335931,335931,1,1
335932,335932,1,1
33599/,33599/,2,1
335991,335991,1,1
335999,335999,1,1
336///,336///,30,1
3361//,3361//,3,1
33611/,33611/,2,1
336111,336111,1,1
336112,336112,1,1
33612/,33612/,1,1
336120,336120,1,1
3362//,3362//,4,1
33621/,33621/,4,1
336211,336211,1,1
336212,336212,1,1
336213,336213,1,1
336214,336214,1,1
3363//,3363//,11,1
33631/,33631/,2,1
336311,336311,1,1
336312,336312,1,1
33632/,33632/,2,1
336321,336321,1,1
336322,336322,1,1
33633/,33633/,1,1
336330,336330,1,1
33634/,33634/,1,1
336340,336340,1,1
33635/,33635/,1,1
336350,336350,1,1
33636/,33636/,1,1
336360,336360,1,1
33637/,33637/,1,1
336370,336370,1,1
33639/,33639/,2,1
336391,336391,1,1
336399,336399,1,1
3364//,3364//,6,1
33641/,33641/,6,1
336411,336411,1,1
336412,336412,1,1
336413,336413,1,1
336414,336414,1,1
336415,336415,1,1
336419,336419,1,1
3365//,3365//,1,1
33651/,33651/,1,1
336510,336510,1,1
3366//,3366//,2,1
33661/,33661/,2,1
336611,336611,1,1
336612,336612,1,1
3369//,3369//,3,1
33699/,33699/,3,1
336991,336991,1,1
336992,336992,1,1
336999,336999,1,1
337///,337///,13,1
3371//,3371//,7,1
33711/,33711/,1,1
337110,337110,1,1
33712/,33712/,6,1
337121,337121,1,1
337122,337122,1,1
337124,337124,1,1
337125,337125,1,1
337127,337127,1,1
337129,337129,1,1
3372//,3372//,4,1
33721/,33721/,4,1
337211,337211,1,1
337212,337212,1,1
337214,337214,1,1
337215,337215,1,1
3379//,3379//,2,1
33791/,33791/,1,1
337910,337910,1,1
33792/,33792/,1,1
337920,337920,1,1
339///,339///,24,1
3391//,3391//,6,1
33911/,33911/,6,1
339111,339111,1,1
339112,339112,1,1
339113,339113,1,1
339114,339114,1,1
339115,339115,1,1
339116,339116,1,1
3399//,3399//,18,1
33991/,33991/,4,1
339911,339911,1,1
339912,339912,1,1
339913,339913,1,1
339914,339914,1,1
33992/,33992/,1,1
339920,339920,1,1
33993/,33993/,2,1
339931,339931,1,1
339932,339932,1,1
33994/,33994/,4,1
339941,339941,1,1
339942,339942,1,1
339943,339943,1,1
339944,339944,1,1
33995/,33995/,1,1
339950,339950,1,1
33999/,33999/,6,1
339991,339991,1,1
339992,339992,1,1
339993,339993,1,1
339994,339994,1,1
339995,339995,1,1
339999,339999,1,1
42----,42----,205,1
421///,423///,37,.33333334
421///,425///,74,.66666669
4211//,4231//,4,.33333334
4211//,4251//,8,.66666669
42111/,42311/,1,.33333334
42111/,42511/,1,.33333334
42111/,42512/,1,.33333334
421110,423110,1,.33333334
421110,425110,1,.33333334
421110,425120,1,.33333334
42112/,42312/,1,.33333334
42112/,42511/,1,.33333334
42112/,42512/,1,.33333334
421120,423120,1,.33333334
421120,425110,1,.33333334
421120,425120,1,.33333334
42113/,42313/,1,.33333334
42113/,42511/,1,.33333334
42113/,42512/,1,.33333334
421130,423130,1,.33333334
421130,425110,1,.33333334
421130,425120,1,.33333334
42114/,42314/,1,.33333334
42114/,42511/,1,.33333334
42114/,42512/,1,.33333334
421140,423140,1,.33333334
421140,425110,1,.33333334
421140,425120,1,.33333334
4212//,4232//,2,.33333334
4212//,4251//,4,.66666669
42121/,42321/,1,.33333334
42121/,42511/,1,.33333334
42121/,42512/,1,.33333334
