sic87,naics97,mapping_ec,mapping_official,mapping_all,weight_mapping_ec,weight_mapping_official,weight_mapping_all,weight_emp,weight_estabs,weight_pay,weight_ship,rw1,tot_rw,rw2,weight_hybrid,source,weight_shipments,emp,estabs,shipments,pay,test
0920,1125//,0,2,2,,1,1,,,,,1,1,0,1,,,,,,,1
0921,112511,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0921,112512,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0970,1142//,0,1,1,,1,1,,,,,1,1,0,1,,,,,,,1
0971,114210,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
098\,115///,1,,1,1,,1,,,,,,0,1,1,fk,,,,,,1
10--,21----,31,33,33,.91176468,.91666669,.91666669,.99412125,.99005979,.99480271,.99695873,,0,1,.99412125,,,,,,,1
10--,54----,3,3,3,.088235296,.083333336,.083333336,.0058787228,.0099402005,.0051972754,.0030412814,,0,1,.0058787228,,,,,,,1
1000,212///,7,9,9,.77777779,.81818181,.81818181,.93682647,.70833331,.94766533,.97038943,,0,1,.93682647,,,,,,,1
1000,213///,1,1,1,.11111111,.090909094,.090909094,.062328726,.26149425,.051811147,.029282952,,0,1,.062328726,,,,,,,1
1000,541///,1,1,1,.11111111,.090909094,.090909094,.000844786,.030172413,.00052348903,.00032764202,,0,1,.000844786,,,,,,,1
1010,2122//,1,1,1,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1011,212210,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,7920,32,1937749,393921,1
1020,2122//,1,1,1,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1021,212234,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,13745,49,4017818,550888,1
1030,2122//,1,1,1,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1031,212231,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,2127,31,531367,88613,1
1040,2122//,2,2,2,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1041,212221,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,17512,300,3951750,777636,1
1044,212222,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,780,16,121515,32843,1
1060,2122//,0,2,2,,1,1,,,,,1,1,0,1,,,,,,,1
1061,212234,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
1061,212299,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
1080,2131//,1,1,1,.5,.5,.5,.98662752,.89655173,.98999727,.98893499,,0,1,.98662752,,,,,,,1
1080,5413//,1,1,1,.5,.5,.5,.013372472,.10344828,.010002726,.011065027,,0,1,.013372472,,,,,,,1
1081,213114,1,1,1,.5,.5,.5,.98662752,.89655173,.98999727,,,0,1,.98662752,both,.98893499,3025,182,338105,108969,1
1081,541360,1,1,1,.5,.5,.5,.013372472,.10344828,.010002726,,,0,1,.013372472,both,.011065027,41,21,3783,1101,1
1090,2122//,2,2,2,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1094,212291,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,695,29,103198,26597,1
