sic72,sic77,mappings,weight_mappings
4940,4940,1,1
4941,4941,1,1
4950,4950,3,1
4952,4952,1,1
4953,4953,1,1
4959,4959,1,1
4960,4960,1,1
4961,4961,1,1
4970,4970,2,1
4971,4971,1,1
497\,497\,1,1
50--,50--,61,1
5000,5000,30,1
5010,5010,3,1
5012,5012,1,1
5013,5013,1,1
5014,5014,1,1
5020,5020,2,1
5021,5021,1,1
5023,5023,1,1
5030,5030,2,1
5031,5031,1,1
5039,5039,1,1
5040,5040,3,1
5041,5041,1,1
5042,5042,1,1
5043,5043,1,1
5050,5050,2,1
5051,5051,1,1
5052,5052,1,1
5060,5060,3,1
5063,5063,1,1
5064,5064,1,1
5065,5065,1,1
5070,5070,4,1
5072,5072,1,1
5074,5074,1,1
5075,5075,1,1
5078,5078,1,1
5080,5080,8,1
5081,5081,1,1
5082,5082,1,1
5083,5083,1,1
5084,5084,1,1
5085,5085,1,1
5086,5086,1,1
5087,5087,1,1
5088,5088,1,1
5090,5090,3,1
5093,5093,1,1
5094,5094,1,1
5099,5099,1,1
5100,5100,32,1
5110,5110,3,1
5111,5111,1,1
5112,5112,1,1
5113,5113,1,1
5120,5120,1,1
5122,5122,1,1
5130,5130,5,1
5133,5133,1,1
5134,5134,1,1
5136,5136,1,1
5137,5137,1,1
5139,5139,1,1
5140,5140,9,1
5141,5141,1,1
5142,5142,1,1
5143,5143,1,1
5144,5144,1,1
5145,5145,1,1
5146,5146,1,1
5147,5147,1,1
5148,5148,1,1
5149,5149,1,1
5150,5150,4,1
5152,5152,1,1
5153,5153,1,1
5154,5154,1,1
5159,5159,1,1
5160,5160,1,1
5161,5161,1,1
5170,5170,2,1
5171,5171,1,1
5172,5172,1,1
5180,5180,2,1
5181,5181,1,1
5182,5182,1,1
5190,5190,5,1
5191,5191,1,1
5194,5194,1,1
5198,5198,1,1
5199,5199,1,1
519\,519\,1,1
52--,52--,64,1
5200,5200,5,1
5210,5210,1,1
5211,5211,1,1
5230,5230,1,1
5231,5231,1,1
5250,5250,1,1
5251,5251,1,1
5260,5260,1,1
5261,5261,1,1
5270,5270,1,1
5271,5271,1,1
5300,5300,3,1
5310,5310,1,1
5311,5311,1,1
5330,5330,1,1
5331,5331,1,1
5390,5390,1,1
5399,5399,1,1
5400,5400,9,1
5410,5410,1,1
5411,5411,1,1
5420,5420,2,1
5422,5422,1,1
5423,5423,1,1
5430,5430,1,1
5431,5431,1,1
5440,5440,1,1
5441,5441,1,1
5450,5450,1,1
5451,5451,1,1
5460,5460,2,1
5462,5462,1,1
5463,5463,1,1
5490,5490,1,1
5499,5499,1,1
5500,5500,8,1
5510,5510,1,1
5511,5511,1,1
5520,5520,1,1
5521,5521,1,1
5530,5530,1,1
5531,5531,1,1
5540,5540,1,1
5541,5541,1,1
5550,5550,1,1
5551,5551,1,1
5560,5560,1,1
5561,5561,1,1
5570,5570,1,1
5571,5571,1,1
5590,5590,1,1
5599,5599,1,1
5600,5600,8,1
5610,5610,1,1
5611,5611,1,1
5620,5620,1,1
5621,5621,1,1
5630,5630,1,1
5631,5631,1,1
5640,5640,1,1
5641,5641,1,1
5650,5650,1,1
5651,5651,1,1
5660,5660,1,1
5661,5661,1,1
5680,5680,1,1
5681,5681,1,1
5690,5690,1,1
5699,5699,1,1
5700,5700,7,1
5710,5710,4,1
5712,5712,1,1
5713,5713,1,1
5714,5714,1,1
5719,5719,1,1
5720,5720,1,1
5722,5722,1,1
5730,5730,2,1
5732,5732,1,1
5733,5733,1,1
5800,5800,2,1
5810,5810,2,1
5812,5812,1,1
5813,5813,1,1
5900,5900,23,1
5910,5910,1,1
5912,5912,1,1
5920,5920,1,1
5921,5921,1,1
5930,5930,1,1
5931,5931,1,1
5940,5940,9,1
5941,5941,1,1
5942,5942,1,1
5943,5943,1,1
5944,5944,1,1
5945,5945,1,1
5946,5946,1,1
5947,5947,1,1
5948,5948,1,1
5949,5949,1,1
5960,5960,3,1
5961,5961,1,1
5962,5962,1,1
5963,5963,1,1
5980,5980,3,1
5982,5982,1,1
5983,5983,1,1
5984,5984,1,1
5990,5990,5,1
5992,5992,1,1
5993,5993,1,1
5994,5994,1,1
5999,5999,1,1
599\,599\,1,1
60--,60--,71,1
6000,6000,18,1
6010,6010,1,1
6011,6011,1,1
6020,6020,7,1
6022,6022,1,1
6023,6023,1,1
6024,6024,1,1
6025,6025,1,1
6026,6026,1,1
6027,6027,1,1
6028,6028,1,1
6030,6030,3,1
6032,6032,1,1
6033,6033,1,1
6034,6034,1,1
6040,6040,2,1
6042,6042,1,1
6044,6044,1,1
6050,6050,5,1
6052,6052,1,1
6054,6054,1,1
6055,6055,1,1
6056,6056,1,1
6059,6059,1,1
6100,6100,17,1
6110,6110,2,1
6112,6112,1,1
6113,6113,1,1
6120,6120,4,1
6122,6122,1,1
6123,6123,1,1
6124,6124,1,1
6125,6125,1,1
6130,6130,1,1
6131,6131,1,1
6140,6140,6,1
6142,6142,1,1
6143,6143,1,1
6144,6144,1,1
6145,6145,1,1
6146,6146,1,1
6149,6149,1,1
6150,6150,2,1
