stcode,state,cocode,geoname
41,MN,800,WASECA
41,MN,810,WASHINGTON
41,MN,820,WATONWAN
41,MN,830,WILKIN
41,MN,840,WINONA
41,MN,850,WRIGHT
41,MN,860,YELLOW MEDICINE
41,MN,990,STATEWIDE
42,IA,0,ADAIR
42,IA,10,ADAMS
42,IA,20,ALLAMAKEE
42,IA,30,APPANOOSE
42,IA,40,AUDUBON
42,IA,50,BENTON
42,IA,60,BLACK HAWK
42,IA,70,BOONE
42,IA,80,BREMER
42,IA,90,BUCHANAN
42,IA,100,BUENA VISTA
42,IA,110,BUTLER
42,IA,120,CALHOUN
42,IA,130,CARROLL
42,IA,140,CASS
42,IA,150,CEDAR
42,IA,160,CERRO GORDO
42,IA,170,CHEROKEE
42,IA,180,CHICKASAW
42,IA,190,CLARKE
42,IA,200,CLAY
42,IA,210,CLAYTON
42,IA,220,CLINTON
42,IA,230,CRAWFORD
42,IA,240,DALLAS
42,IA,250,DAVIS
42,IA,260,DECATUR
42,IA,270,DELAWARE
42,IA,280,DES MOINES
42,IA,290,DICKINSON
42,IA,300,DUBUQUE
42,IA,310,EMMET
42,IA,320,FAYETTE
42,IA,330,FLOYD
42,IA,340,FRANKLIN
42,IA,350,FREMONT
42,IA,360,GREENE
42,IA,370,GRUNDY
42,IA,380,GUTHRIE
42,IA,390,HAMILTON
42,IA,400,HANCOCK
42,IA,410,HARDIN
42,IA,420,HARRISON
42,IA,430,HENRY
42,IA,440,HOWARD
42,IA,450,HUMBOLDT
42,IA,460,IDA
42,IA,470,IOWA
42,IA,480,JACKSON
42,IA,490,JASPER
42,IA,500,JEFFERSON
42,IA,510,JOHNSON
42,IA,520,JONES
42,IA,530,KEOKUK
42,IA,540,KOSSUTH
42,IA,550,LEE
42,IA,560,LINN
42,IA,570,LOUISA
42,IA,580,LUCAS
42,IA,590,LYON
42,IA,600,MADISON
42,IA,610,MAHASKA
42,IA,620,MARION
42,IA,630,MARSHALL
42,IA,640,MILLS
42,IA,650,MITCHELL
42,IA,660,MONONA
42,IA,670,MONROE
42,IA,680,MONTGOMERY
42,IA,690,MUSCATINE
42,IA,700,OBRIEN
42,IA,710,OSCEOLA
42,IA,720,PAGE
42,IA,730,PALO ALTO
42,IA,740,PLYMOUTH
42,IA,750,POCAHONTAS
42,IA,760,POLK
42,IA,770,POTTAWATTAMIE
42,IA,780,POWESHIEK
42,IA,790,RINGGOLD
42,IA,800,SAC
42,IA,810,SCOTT
42,IA,820,SHELBY
42,IA,830,SIOUX
42,IA,840,STORY
42,IA,850,TAMA
42,IA,860,TAYLOR
42,IA,870,UNION
42,IA,880,VAN BUREN
42,IA,890,WAPELLO
42,IA,900,WARREN
42,IA,910,WASHINGTON
42,IA,920,WAYNE
42,IA,930,WEBSTER
42,IA,940,WINNEBAGO
42,IA,950,WINNESHIEK
42,IA,960,WOODBURY
42,IA,970,WORTH
42,IA,980,WRIGHT
42,IA,990,STATEWIDE
43,MO,0,ADAIR
43,MO,10,ANDREW
43,MO,21,ATCHISON
43,MO,22,HOLT
43,MO,30,AUDRAIN
43,MO,40,BARRY
43,MO,50,BARTON
43,MO,60,BATES
43,MO,70,BENTON
43,MO,80,BOLLINGER
43,MO,90,BOONE
43,MO,100,BUCHANAN
43,MO,110,BUTLER
43,MO,120,CALDWELL
43,MO,130,CALLAWAY
43,MO,141,CAMDEN
43,MO,142,HICKORY
43,MO,150,CAPE GIRARDEAU
43,MO,160,CARROLL
43,MO,171,CARTER
43,MO,172,REYNOLDS
43,MO,173,WAYNE
43,MO,180,CASS
43,MO,191,CEDAR
43,MO,192,ST CLAIR
43,MO,200,CHARITON
43,MO,211,CHRISTIAN
43,MO,212,STONE
43,MO,213,TANEY
43,MO,221,CLARK
43,MO,222,LEWIS
43,MO,230,CLAY
43,MO,240,CLINTON
43,MO,250,COLE
43,MO,260,COOPER
43,MO,270,CRAWFORD
43,MO,281,DADE
43,MO,282,POLK
43,MO,290,DALLAS
43,MO,300,DAVIESS
43,MO,310,DE KALB
43,MO,320,DENT
43,MO,331,DOUGLAS
43,MO,332,OZARK
43,MO,340,DUNKLIN
43,MO,350,FRANKLIN
43,MO,360,GASCONADE
43,MO,371,GENTRY
43,MO,372,WORTH
43,MO,380,GREENE
43,MO,390,GRUNDY
43,MO,401,HARRISON
43,MO,402,MERCER
43,MO,410,HENRY
43,MO,420,SCOTT
43,MO,430,SHELBY
43,MO,440,HOWARD
43,MO,450,HOWELL
43,MO,461,IRON
43,MO,462,MADISON
43,MO,470,JACKSON
43,MO,480,JASPER
43,MO,490,JEFFERSON
43,MO,500,JOHNSON
43,MO,511,KNOX
43,MO,512,SCOTLAND
43,MO,520,LACLEDE
43,MO,530,LAFAYETTE
43,MO,540,LAWRENCE
43,MO,550,STODDARD
43,MO,560,LINCOLN
43,MO,570,LINN
43,MO,580,LIVINGSTON
43,MO,590,MCDONALD
43,MO,600,MACON
43,MO,610,SULLIVAN
43,MO,620,MARIES
43,MO,630,MARION
43,MO,641,TEXAS
43,MO,642,WRIGHT
43,MO,650,MILLER
43,MO,660,MISSISSIPPI
43,MO,670,MONITEAU
43,MO,680,MONROE
43,MO,690,MONTGOMERY
43,MO,700,MORGAN
43,MO,710,NEW MADRID
43,MO,720,NEWTON
43,MO,730,NODAWAY
43,MO,741,OREGON
43,MO,742,SHANNON
43,MO,750,OSAGE
43,MO,760,VERNON
43,MO,770,PEMISCOT
43,MO,780,PERRY
43,MO,790,PETTIS
43,MO,800,PHELPS
43,MO,810,PIKE
43,MO,820,PLATTE
43,MO,830,WARREN
43,MO,840,PULASKI
43,MO,850,PUTNAM
43,MO,860,RALLS
43,MO,870,RANDOLPH
43,MO,880,RAY
43,MO,890,WASHINGTON
43,MO,900,RIPLEY
43,MO,910,ST CHARLES
43,MO,920,WEBSTER
43,MO,930,ST FRANCOIS
43,MO,940,ST LOUIS
43,MO,950,ST LOUIS CITY
43,MO,960,STE GENEVIEVE
43,MO,970,SALINE
43,MO,980,SCHUYLER
43,MO,990,STATEWIDE
45,ND,0,ADAMS
45,ND,10,BARNES
45,ND,20,BENSON
45,ND,30,BILLINGS
45,ND,40,BOTTINEAU
45,ND,50,BOWMAN
45,ND,60,BURKE
45,ND,70,BURLEIGH
45,ND,80,CASS
45,ND,90,CAVALIER
45,ND,100,DICKEY
45,ND,110,DIVIDE
45,ND,120,DUNN
45,ND,130,EDDY
45,ND,140,EMMONS
45,ND,150,FOSTER
45,ND,160,GOLDEN VALLEY
45,ND,170,GRAND FORKS
45,ND,180,GRANT
45,ND,190,GRIGGS
45,ND,200,HETTINGER
