psu2,hh_size,age_category,gender,weight,store_installment_debt,bank_installment_debt,store_revolving_debt,has_charge_account,income,year
12,1,2,1,135,0,0,0,1,0,1949
79,3,2,1,411,0,0,0,1,463,1949
66,2,5,1,473,0,0,0,0,88,1949
17,2,4,2,234,0,0,10,1,600,1949
71,1,5,1,208,0,0,0,0,330,1949
67,5,3,1,473,0,0,10,1,388,1949
44,6,2,1,353,0,400,0,0,78,1949
92,2,4,1,234,0,0,0,0,259,1949
19,3,3,1,411,0,0,0,0,252,1949
15,4,3,1,411,0,0,30,1,900,1949
84,1,6,1,208,0,0,0,0,140,1949
75,2,6,1,411,0,0,0,0,244,1949
75,2,5,1,208,0,0,30,1,0,1949
47,1,6,2,208,0,0,0,0,196,1949
89,2,5,1,208,0,0,0,1,153,1949
51,2,4,1,378,0,170,30,1,308,1949
79,3,5,1,411,0,0,0,1,580,1949
88,3,4,1,208,0,0,0,1,185,1949
88,2,5,2,208,0,0,0,1,200,1949
88,5,3,1,208,0,0,0,1,404,1949
88,3,4,1,208,0,0,0,1,420,1949
25,2,2,1,473,0,0,0,1,720,1949
88,2,5,2,208,0,0,0,1,450,1949
77,5,3,1,234,0,0,0,1,674,1949
77,2,4,2,234,0,0,30,1,682,1949
86,4,2,1,473,0,110,0,0,182,1949
73,2,5,1,552,0,0,0,0,260,1949
92,5,3,1,378,0,0,0,0,340,1949
43,5,3,1,353,0,0,0,1,350,1949
27,2,2,1,234,0,0,0,0,480,1949
78,1,6,2,208,0,0,0,1,250,1949
35,1,6,2,552,0,0,0,0,36,1949
35,1,6,2,378,0,0,0,0,36,1949
19,1,5,1,135,0,0,0,0,140,1949
43,3,5,2,353,0,0,0,0,132,1949
34,8,6,1,184,0,0,0,0,28,1949
51,8,5,1,184,0,30,0,0,56,1949
34,2,2,1,184,0,0,0,1,55,1949
51,3,3,1,378,0,0,0,0,200,1949
51,1,6,2,378,0,0,0,1,111,1949
67,2,6,1,473,0,0,0,1,262,1949
67,0,5,1,208,0,0,0,0,472,1949
67,2,3,1,319,0,0,0,0,250,1949
67,3,3,1,208,0,0,0,0,418,1949
67,3,-,1,411,0,0,10,1,267,1949
86,2,6,1,473,0,0,0,0,96,1949
25,5,3,1,473,0,0,0,0,425,1949
25,5,2,1,234,0,80,0,0,270,1949
25,3,1,1,234,0,0,0,0,498,1949
15,2,2,2,411,0,0,0,0,270,1949
25,4,3,1,473,0,0,0,0,450,1949
35,4,2,1,208,0,0,0,1,319,1949
62,2,2,1,208,0,500,0,1,380,1949
15,1,6,2,411,0,0,0,0,90,1949
64,1,4,2,319,0,0,0,0,115,1949
64,1,5,2,208,0,0,0,0,167,1949
43,2,6,1,184,0,0,0,0,29,1949
42,3,1,1,208,0,0,30,1,380,1949
42,6,3,1,184,0,0,0,0,347,1949
34,8,3,1,184,0,0,0,0,107,1949
83,2,6,1,411,0,0,0,0,0,1949
63,2,6,1,208,0,0,0,0,0,1949
83,4,2,1,411,0,400,0,0,500,1949
64,2,4,1,208,0,0,0,0,250,1949
64,4,2,1,208,0,0,0,0,198,1949
