psu,weight,durable_price,durable,item_code1,item_code2,item_code3,item_code4,item_code5,item_code6,item_code_a1,item_code_a2,item_code_a3,payment_method,year,code_string,code_a_string,television,refrigerator,washing_machine,cook_stove,clothes_dryer,dishwasher,freezer,credit_use,psu2,city_cca
0126,34,650,650,2,0,0,0,0,0,0,0,0,1,1959,200000,000,0,1,0,0,0,0,0,0,01,
-708,30,1215,1215,1,5,0,0,0,0,0,0,0,2,1959,150000,000,1,0,0,0,0,0,0,1,-7,San Jose
4637,33,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,46,Columbus
8403,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,84,Omaha
9042,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,90,
3514,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,35,Indianapolis
5213,34,390,320,2,0,0,0,0,0,0,0,0,2,1959,200000,000,0,1,0,0,0,0,0,1,52,
1240,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,12,Newark
4107,35,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,41,
4031,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,40,
7610,33,204,204,4,&,0,0,0,0,5,0,0,1,1959,4&0000,500,0,0,0,1,0,0,0,0,76,Milwaukee
7704,30,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,77,Phoenix
-407,31,350,350,5,&,0,0,0,0,4,0,0,1,1959,5&0000,400,0,0,0,0,0,0,0,0,-4,Chicago
0132,34,350,350,5,6,0,0,0,0,0,0,0,1,1959,560000,000,0,0,0,0,1,0,0,0,01,
6517,32,250,200,4,0,0,0,0,0,0,0,0,1,1959,400000,000,0,0,0,1,0,0,0,0,65,
4917,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,49,
3144,35,275,275,5,0,0,0,0,0,0,0,0,1,1959,500000,000,0,0,0,0,0,0,0,0,31,
3643,32,401,401,5,0,0,0,0,0,0,0,0,3,1959,500000,000,0,0,0,0,0,0,0,0.5,36,Columbus
6536,31,270,270,4,0,0,0,0,0,0,0,0,1,1959,400000,000,0,0,0,1,0,0,0,0,65,
8405,31,575,400,2,0,0,0,0,0,0,0,0,2,1959,200000,000,0,1,0,0,0,0,0,1,84,Omaha
8417,33,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,84,Omaha
5410,32,125,125,5,0,0,0,0,0,0,0,0,2,1959,500000,000,0,0,0,0,0,0,0,1,54,Columbus
6534,31,1676,1526,1,2,6,&,0,0,2,0,0,1,1959,126&00,200,1,1,0,0,1,0,0,0,65,
2301,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,23,
6527,33,149,149,5,0,0,0,0,0,0,0,0,2,1959,500000,000,0,0,0,0,0,0,0,1,65,
-714,34,400,400,1,5,0,0,0,0,0,0,0,1,1959,150000,000,1,0,0,0,0,0,0,0,-7,San Jose
2305,32,875,875,3,5,&,0,0,0,2,0,0,1,1959,35&000,200,0,0,1,0,0,0,0,0,23,
2102,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,21,
1234,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,12,Newark
2309,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,23,
3206,35,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,32,
-713,34,100,100,&,0,0,0,0,0,5,0,0,2,1959,&00000,500,0,0,0,0,0,0,0,1,-7,San Jose
0706,34,104,104,1,0,0,0,0,0,0,0,0,2,1959,100000,000,1,0,0,0,0,0,0,1,07,Long Beach
1241,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,12,Newark
5928,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,59,
-709,30,255,255,1,0,0,0,0,0,0,0,0,1,1959,100000,000,1,0,0,0,0,0,0,0,-7,San Jose
2702,31,450,450,5,0,0,0,0,0,0,0,0,1,1959,500000,000,0,0,0,0,0,0,0,0,27,San Jose
0701,34,73,73,1,0,0,0,0,0,0,0,0,2,1959,100000,000,1,0,0,0,0,0,0,1,07,Long Beach
9910,31,221,221,1,5,0,0,0,0,0,0,0,2,1959,150000,000,1,0,0,0,0,0,0,1,99,
3805,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,38,
0710,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,07,Long Beach
8721,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,87,
3703,32,270,270,6,0,0,0,0,0,0,0,0,2,1959,600000,000,0,0,0,0,1,0,0,1,37,
6413,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,64,
0704,34,43,43,1,3,0,0,0,0,0,0,0,-,1959,130000,000,1,0,1,0,0,0,0,0.5,07,Long Beach
0719,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,07,Long Beach
8029,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,80,
0301,29,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,03,
3217,35,50,25,1,0,0,0,0,0,0,0,0,1,1959,100000,000,1,0,0,0,0,0,0,0,32,
1242,32,1200,1200,5,0,0,0,0,0,0,0,0,1,1959,500000,000,0,0,0,0,0,0,0,0,12,Newark
3127,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,31,
3752,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,37,
-726,30,858,858,2,5,0,0,0,0,0,0,0,2,1959,250000,000,0,1,0,0,0,0,0,1,-7,San Jose
3512,32,235,235,1,5,0,0,0,0,0,0,0,3,1959,150000,000,1,0,0,0,0,0,0,0.5,35,Indianapolis
9906,31,300,300,1,0,0,0,0,0,0,0,0,1,1959,100000,000,1,0,0,0,0,0,0,0,99,
0908,29,265,265,3,0,0,0,0,0,0,0,0,1,1959,300000,000,0,0,1,0,0,0,0,0,09,"Washington, D.C."
3874,31,729,729,5,&,0,0,0,0,2,0,0,3,1959,5&0000,200,0,0,0,0,0,0,0,0.5,38,
3868,31,167,167,5,&,0,0,0,0,1,0,0,1,1959,5&0000,100,0,0,0,0,0,0,0,0,38,
1804,40,205,205,5,8,0,0,0,0,0,0,0,1,1959,580000,000,0,0,0,0,0,0,0,0,18,"Washington, D.C."
4111,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,41,
-710,30,295,295,5,6,&,0,0,0,1,0,0,3,1959,56&000,100,0,0,0,0,1,0,0,0.5,-7,San Jose
6516,32,382,382,5,&,0,0,0,0,2,0,0,2,1959,5&0000,200,0,0,0,0,0,0,0,1,65,
6402,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,64,
-724,30,250,250,7,0,0,0,0,0,0,0,0,2,1959,700000,000,0,0,0,0,0,1,0,1,-7,San Jose
7036,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,70,
0702,34,70,70,3,0,0,0,0,0,0,0,0,1,1959,300000,000,0,0,1,0,0,0,0,0,07,Long Beach
4101,35,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,41,
0128,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,01,
0803,35,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,08,"Washington, D.C."
1910,40,249,249,1,2,4,0,0,0,0,0,0,3,1959,124000,000,1,1,0,1,0,0,0,0.5,19,"Washington, D.C."
3219,35,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,32,
&114,32,197,197,3,0,0,0,0,0,0,0,0,2,1959,300000,000,0,0,1,0,0,0,0,1,&1,Newark
3934,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,39,
-113,34,437,390,1,&,0,0,0,0,5,0,0,1,1959,1&0000,500,1,0,0,0,0,0,0,0,-1,Newark
3131,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,31,
4616,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,46,Columbus
1219,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,12,Newark
1237,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,12,Newark
&111,32,300,300,4,5,0,0,0,0,0,0,0,3,1959,450000,000,0,0,0,1,0,0,0,0.5,&1,Newark
