weight,debt,durable,durable_debt,income,year,has_card,card_spend,card_bal,has_card_s,card_spend_s,card_bal_s
1,,0,0,11750,1977,1,1080,0,1,1080,
1,,907,168,23750,1977,1,2928,68,1,2016,68
1,,0,0,8250,1977,1,948,65,1,780,65
1,,0,0,,1977,1,2520,0,,,
1,,550,0,5500,1977,0,0,0,,,
1,,731,731,5500,1977,0,0,0,,,
1,,400,400,8250,1977,0,0,0,,,
1,,0,0,2500,1977,0,0,0,,,
1,,687,500,8250,1977,0,0,0,,,
1,,0,0,11750,1977,1,1896,0,1,,
1,,0,0,18750,1977,1,5760,400,1,,
1,,0,0,8250,1977,0,0,0,,,
1,,800,0,13750,1977,1,1800,0,1,1800,
1,,1000,0,37500,1977,1,1440,0,1,,
1,,145,0,1000,1977,0,0,0,,,
1,,0,0,9500,1977,1,5880,540,1,2400,300
1,,914,600,23750,1977,1,0,500,1,,500
1,,400,400,21250,1977,1,2040,460,1,600,400
1,,0,0,,1977,0,0,0,,,
1,,0,0,11750,1977,0,0,0,,,
1,,365,0,5500,1977,0,0,0,,,
1,,0,0,2500,1977,1,0,0,1,,
1,,0,0,,1977,0,0,0,,,
1,,0,0,4500,1977,0,0,0,,,
1,,775,0,21250,1977,1,300,25,,,
1,,578,578,18750,1977,0,0,0,,,
1,,1279,1279,,1977,1,2220,620,1,660,120
1,,1012,1012,21250,1977,1,900,240,1,600,200
1,,0,0,9500,1977,0,0,0,,,
1,,200,0,13750,1977,1,840,50,1,840,50
1,,175,0,6750,1977,0,0,0,,,
1,,808,0,23750,1977,1,1056,0,1,720,
1,,0,0,6750,1977,0,0,0,,,
1,,500,0,62500,1977,1,4800,0,1,1200,
1,,0,0,6750,1977,1,0,0,,,
1,,675,470,16250,1977,1,156,0,,,
1,,0,0,5500,1977,1,240,0,1,240,
1,,0,0,10500,1977,0,0,0,,,
1,,0,0,,1977,1,0,0,1,,
1,,0,0,,1977,0,0,0,,,
1,,300,0,,1977,1,0,0,1,,
1,,869,369,5500,1977,1,2328,410,1,420,60
1,,0,0,9500,1977,0,0,0,,,
1,,7065,6500,18750,1977,1,0,150,1,,150
1,,1500,0,62500,1977,1,6900,0,1,3600,
1,,0,0,13750,1977,1,2700,350,1,300,50
1,,2485,0,32500,1977,1,1620,65,1,,
1,,0,0,9500,1977,0,0,0,,,
1,,0,0,11750,1977,1,276,23,1,276,23
1,,52,0,5500,1977,0,0,0,,,
1,,3000,0,16250,1977,0,0,0,,,
1,,0,0,5500,1977,0,0,0,,,
1,,480,0,37500,1977,1,0,0,,,
1,,0,0,8250,1977,0,0,0,,,
1,,1758,1559,21250,1977,1,3036,30,1,720,30
1,,320,320,11750,1977,1,3636,303,1,3000,250
1,,0,0,,1977,0,0,0,,,
1,,0,0,2500,1977,1,0,0,1,,
1,,1327,992,8250,1977,0,0,0,,,
1,,0,0,27500,1977,0,0,0,,,
1,,900,0,8250,1977,0,0,0,,,
1,,0,0,5500,1977,1,240,70,,,
1,,0,0,6750,1977,0,0,0,,,
1,,0,0,5500,1977,1,0,470,1,,150
1,,0,0,62500,1977,1,5820,0,1,,
1,,800,0,32500,1977,1,4800,0,1,1200,
1,,369,369,23750,1977,1,3120,857,1,720,700
1,,0,0,2500,1977,0,0,0,,,
1,,349,349,16250,1977,1,0,0,1,,
1,,0,0,3500,1977,1,0,0,,,
1,,2270,0,16250,1977,1,660,535,1,,85
1,,298,0,4500,1977,0,0,0,,,
1,,0,0,6750,1977,0,0,0,,,
