weight,psu2,hh_size,age_category,race,gender,ar_bor,mortgage_bor,installment_debt,better_off,auto,auto_bor,bank_auto_bor,durable,durable_bor,bank_durable_bor,item_name,refrigerator,washing_machine,radio,cook_stove,durable_price,payment_method,credit_use,income,year,loc_type,refrigerator_credit_use,radio_credit_use,freezer,television,television_credit_use,washing_machine_credit_use,dishwasher,clothes_dryer,credit_good,age_category2,cook_stove_credit_use,item_code1,item_code2,item_code3,item_code4,item_code5,item_code6,item_code_a1,item_code_a2,item_code_a3,code_string,code_a_string,psu,age,air_conditioner,sewing_machine,psu3,bw_television,color_television,bw_television_credit_use,bw_television_price,color_television_credit_use,color_television_price,refrigerator_price,washing_machine_price,cook_stove_price,clothes_dryer_credit_use,clothes_dryer_price,dishwasher_credit_use,dishwasher_price,air_conditioner_credit_use,air_conditioner_price,state
457,44,4,3,1,1,3500,0,0,1,0,0,0,260,0,0,Refrigerator,1,0,1,0,26,4,0,4700,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA
457,35,4,2,1,1,0,0,0,0,0,0,0,40,0,0,Radio,0,0,1,0,4,4,0,960,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CO
457,43,4,3,1,1,0,0,0,0,0,0,0,600,0,0,Refrigerator,1,0,0,0,60,4,0,4200,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN
457,44,3,2,1,1,0,0,0,0,0,0,0,200,0,0,Radio,0,0,1,0,20,4,0,2300,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA
398,37,3,2,1,1,0,1000,0,-1,0,0,0,350,0,0,Other,0,1,0,1,35,4,0,3200,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL
239,33,4,2,1,2,650,0,300,-1,300,0,300,350,0,350,Furniture,0,0,0,1,35,6,1,3500,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA
239,62,4,2,1,2,0,0,100,0,0,0,0,110,0,0,Radio,0,0,1,0,11,4,0,4400,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
493,46,2,5,1,2,0,0,0,0,0,0,0,70,56,0,Other,0,0,0,1,7,1,1,1700,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA
239,51,1,4,2,2,0,0,100,0,0,0,0,300,240,0,Refrigerator,1,0,0,0,30,1,1,300,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS
457,50,4,4,1,1,0,0,750,0,0,0,0,240,0,0,Other,0,0,0,1,24,4,0,1100,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MN
457,62,3,2,1,1,700,0,0,0,0,0,0,70,0,0,Washing machine,0,1,0,0,7,4,0,1500,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
457,50,4,4,1,1,0,0,0,0,0,0,0,0,0,0,Radio,0,0,1,0,0,-,0,800,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MN
457,50,4,4,1,1,200,0,300,1,0,0,0,0,0,0,Radio,0,0,1,0,0,-,0,1800,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MN
