,index,url_title,url,title,numbers,year,yellow,inrange,include
928,929,"https://www.loc.gov/resource/usteledirec.usteledirec00929:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - July 1951  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00929,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - July 1951  | Library of Congress</title>
","['1', '1951']",1951.0,1,1,1
929,930,"https://www.loc.gov/resource/usteledirec.usteledirec00930:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - August 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00930,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - August 1952  | Library of Congress</title>
","['1', '1952']",1952.0,1,1,1
930,931,"https://www.loc.gov/resource/usteledirec.usteledirec00931:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - February 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00931,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - February 1953  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1
931,932,"https://www.loc.gov/resource/usteledirec.usteledirec00932:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Summer 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00932,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Summer 1954  | Library of Congress</title>
","['1', '1954']",1954.0,1,1,1
932,933,"https://www.loc.gov/resource/usteledirec.usteledirec00933:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Winter 1953/1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00933,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Winter 1953/1954  | Library of Congress</title>
","['1', '1953', '1954']",1953.0,1,1,1
933,934,"https://www.loc.gov/resource/usteledirec.usteledirec00934:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Summer 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00934,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Summer 1953  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1
934,935,"https://www.loc.gov/resource/usteledirec.usteledirec00935:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Spring 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00935,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Spring 1955  | Library of Congress</title>
","['1', '1955']",1955.0,1,1,1
935,936,"https://www.loc.gov/resource/usteledirec.usteledirec00936:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00936,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1956  | Library of Congress</title>
","['1', '1956']",1956.0,1,1,1
936,937,"https://www.loc.gov/resource/usteledirec.usteledirec00937:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00937,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1957  | Library of Congress</title>
","['1', '1957']",1957.0,1,1,1
937,938,"https://www.loc.gov/resource/usteledirec.usteledirec00938:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00938,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1958  | Library of Congress</title>
","['1', '1958']",1958.0,1,1,1
938,939,"https://www.loc.gov/resource/usteledirec.usteledirec00939:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00939,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1959  | Library of Congress</title>
","['1', '1959']",1959.0,1,1,1
