NAME,state,r_90,r_77,r_change,st,ever_nolimit,year,r_usury,nolimit
Kansas,KS,21,21,0,20,0,1973,21,0
Kentucky,KY,18,18,0,21,0,1980,18,0
Kentucky,KY,18,18,0,21,0,1990,18,0
Kentucky,KY,18,18,0,21,0,1979,18,0
Kentucky,KY,18,18,0,21,0,1975,18,0
Kentucky,KY,18,18,0,21,0,1978,18,0
Kentucky,KY,18,18,0,21,0,1981,18,0
Kentucky,KY,18,18,0,21,0,1987,18,0
Kentucky,KY,18,18,0,21,0,1986,18,0
Kentucky,KY,18,18,0,21,0,1988,18,0
Kentucky,KY,18,18,0,21,0,1984,18,0
Kentucky,KY,18,18,0,21,0,1976,18,0
Kentucky,KY,18,18,0,21,0,1982,18,0
Kentucky,KY,18,18,0,21,0,1989,18,0
Kentucky,KY,18,18,0,21,0,1985,18,0
Kentucky,KY,18,18,0,21,0,1983,18,0
Louisiana,LA,18,18,0,22,0,1975,18,0
Louisiana,LA,18,18,0,22,0,1981,18,0
Louisiana,LA,18,18,0,22,0,1971,18,0
Louisiana,LA,18,18,0,22,0,1973,18,0
Louisiana,LA,18,18,0,22,0,1989,18,0
Louisiana,LA,18,18,0,22,0,1985,18,0
Louisiana,LA,18,18,0,22,0,1977,18,0
Louisiana,LA,18,18,0,22,0,1980,18,0
Louisiana,LA,18,18,0,22,0,1972,18,0
Louisiana,LA,18,18,0,22,0,1984,18,0
Louisiana,LA,18,18,0,22,0,1990,18,0
Louisiana,LA,18,18,0,22,0,1987,18,0
Louisiana,LA,18,18,0,22,0,1978,18,0
Louisiana,LA,18,18,0,22,0,1986,18,0
Louisiana,LA,18,18,0,22,0,1976,18,0
Louisiana,LA,18,18,0,22,0,1983,18,0
Louisiana,LA,18,18,0,22,0,1982,18,0
Louisiana,LA,18,18,0,22,0,1988,18,0
Louisiana,LA,18,18,0,22,0,1974,18,0
Massachusetts,MA,18,18,0,25,0,1984,18,0
Massachusetts,MA,18,18,0,25,0,1973,18,0
Massachusetts,MA,18,18,0,25,0,1976,18,0
Massachusetts,MA,18,18,0,25,0,1977,18,0
Massachusetts,MA,18,18,0,25,0,1990,18,0
Massachusetts,MA,18,18,0,25,0,1982,18,0
Massachusetts,MA,18,18,0,25,0,1987,18,0
Massachusetts,MA,18,18,0,25,0,1981,18,0
Massachusetts,MA,18,18,0,25,0,1974,18,0
Massachusetts,MA,18,18,0,25,0,1971,18,0
Massachusetts,MA,18,18,0,25,0,1975,18,0
Massachusetts,MA,18,18,0,25,0,1983,18,0
Massachusetts,MA,18,18,0,25,0,1988,18,0
Massachusetts,MA,18,18,0,25,0,1972,18,0
Massachusetts,MA,18,18,0,25,0,1978,18,0
Massachusetts,MA,18,18,0,25,0,1980,18,0
Massachusetts,MA,18,18,0,25,0,1979,18,0
Massachusetts,MA,18,18,0,25,0,1986,18,0
