year,state,RSSDID,losses,ci.loans,ci.losses,cards,card.losses,loans,card.loss.rate,banks,card.issuers,state_name,fipstate,r_90,r_77,r_change,ever_nolimit,r_usury,nolimit,e1_4,e5_9,e10_19,e20_49,e50_99,e100_249,e250_499,e500_999,e1000,emp,emp.small,emp.mid,emp.lg,emp.small.frac,emp.mid.frac,emp.lg.frac,tax,corp.lic.tax,lic.tax,corp.inc.tax,interest,sa,loc.tax,loc.corp.lic.tax,loc.lic.tax,loc.corp.inc.tax,loc.interest,loc.sa
1978,CO,142390967,24738.5,2328094.41666667,0,423111.166666667,0,7419542.33333333,0,299,197,Colorado,8,21,18,3,0,18,0,281313,368853,470497,667967,480240,458655,206303,101730,259065,3294623,1120663,1606862,567098,0.340149085342997,0.487722570989154,0.172128343667849,1212097,2368,79373,86202,27205,0,2249122,2368,87845,86202,79853,23733
1978,CT,71340019,66295.25,1975717.58333333,0,292883.666666667,0,13067539.5833333,0,135,52,Connecticut,9,15,15,0,1,15,0,288456,348025,432700,679606,516142,572563,338034,362047,669636,4207209,1069181,1768311,1369717,0.254130707554581,0.420305005052043,0.325564287393376,1550424,1284,105073,199569,67056,666,2746809,1284,105073,199569,99193,16710
1978,DE,7024930,3390.5,228143.5,0,83580.75,0,1794538.41666667,0,22,5,Delaware,10,30,18,12,1,18,0,44389,65956,82595,119008,59043,67502,30727,20854,106565,596639,192940,245553,158146,0.323378123119675,0.411560424310178,0.265061452570147,449774,60509,123599,41900,13323,0,548551,60509,123599,41900,19988,39
1978,FL,342516668,73993.75,4332417,0,588796.166666667,0,17743908.75,0,656,249,Florida,12,18,18,0,0,18,0,886955,1161155,1385863,2006574,1428202,1388402,730172,410177,589762,9987262,3433973,4823178,1730111,0.343835277376322,0.482932960004454,0.173231762619224,3764283,6048,328910,256189,114236,0,5852458,6048,346442,256189,275231,53439
1978,GA,203775976,62337.25,2879359,0,416542.25,0,10752110.5,0,442,97,Georgia,13,18,18,0,0,18,0,445541,580262,718559,1039755,782480,926640,707124,436520,506704,6143585,1744362,2748875,1650348,0.283932264304962,0.447438262838392,0.268629472856646,2183715,8111,80504,203823,62817,7026,3239583,8111,80774,203823,127898,11851
1978,IA,371778798,14915,2059339.75,0,84215.75,0,9967561,0,650,136,Iowa,19,19.8,18,1.8,0,18,0,292111,397040,495587,619033,377400,371486,194690,167023,318292,3232662,1184738,1367919,680005,0.366489908317046,0.423155591274312,0.210354500408642,1402191,6491,151949,108961,44398,0,2021362,6491,155632,108961,74943,6927
1978,ID,10156954,5260.5,678284.5,0,66699,0,2570799.5,0,24,11,Idaho,16,30,18,12,1,18,0,86948,118386,143331,178340,86194,93084,36902,30476,25834,799495,348665,357618,93212,0.436106542254798,0.447304861193629,0.116588596551573,420835,1403,49976,33326,20264,0,571880,1403,50550,33326,26891,1442
1978,IL,684315530,168152.25,22978072.75,0,1382235.83333333,0,56894638.9166667,0,1280,421,Illinois,17,30,21.6,8.3999996,1,21.6,0,799483,1213972,1631003,2552182,1961408,2413093,1496452,1303205,2616374,15987172,3644458,6926683,5416031,0.227961393046875,0.433265057760059,0.338773549193066,5774368,32437,425701,376098,147814,0,9838891,32437,470398,376098,321018,25252
1978,IN,179975535,34833.25,3274894.41666667,0,244741.5,0,15313956.75,0,413,196,Indiana,18,21,18,3,0,18,0,408973,588091,754739,1082237,783848,893777,552230,459809,1330711,6854415,1751803,2759862,2342750,0.255572940943903,0.402640050244988,0.341787008811109,2454685,2357,117545,192068,83286,0,3741881,2357,117589,192068,131921,7245
1978,KS,311277848,19106.75,1762971,0,85965,0,7184104.25,0,616,59,Kansas,20,21,21,0,0,21,0,227075,310483,371916,525919,309114,321815,144969,111826,208433,2531550,909474,1156848,465228,0.359255791906145,0.456972210700954,0.183771997392902,1051119,5119,90568,128513,44845,0,1691073,5119,91439,128513,80639,20535
1978,KY,193218119,21684.25,1978803.25,0,177797,0,8860323.25,0,344,118,Kentucky,21,18,18,0,0,18,0,259186,334498,433840,601580,405581,439752,324138,260310,256245,3315130,1027524,1446913,840693,0.309949836054695,0.436457393827693,0.253592770117612,1842145,10398,83574,138597,89644,0,2234035,10398,88183,138597,112491,8208
