gvkey,state,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,companyname,curcdq,datacqtr,datafqtr,atq,ltq,ncoq,recdq,rectq,rectrq,revtq,wcapq,xintq,cik,costat,county,sic,rec_to_assets,rec_to_rev,ultdunsno,dunsno,companyname_db,ultsls,state_db,sic_db,stateslspctak,stateslspctal,stateslspctar,stateslspctaz,stateslspctca,stateslspctco,stateslspctct,stateslspctdc,stateslspctde,stateslspctfl,stateslspctga,stateslspcthi,stateslspctia,stateslspctid,stateslspctil,stateslspctin,stateslspctks,stateslspctky,stateslspctla,stateslspctma,stateslspctmd,stateslspctme,stateslspctmi,stateslspctmn,stateslspctmo,stateslspctms,stateslspctmt,stateslspctnc,stateslspctnd,stateslspctne,stateslspctnh,stateslspctnj,stateslspctnm,stateslspctnv,stateslspctny,stateslspctoh,stateslspctok,stateslspctor,stateslspctpa,stateslspctri,stateslspctsc,stateslspctsd,stateslspcttn,stateslspcttx,stateslspctut,stateslspctva,stateslspctvt,stateslspctwa,stateslspctwi,stateslspctwv,stateslspctwy,_merge
3004,MA,19780430,1978,1,INDL,C,D,STD,CWI.1,168709103,CHILD WORLD,USD,1978Q1,1978Q1,75.304001,54.143002,,,0,,16.725,14.325,.088,,I,Norfolk,5945,0,0,019328343,79226130,CHILD WORLD INC,126600000,MA,5945,,,,,,,0,,,,,,,,,0,0,,,1,,0,,,0,,,,,,,0,,,0,0,,,0,0,,,,,,,,,,,,Matched (3)
3030,GA,19780331,1978,1,INDL,C,D,STD,CHU.1,171583107,CHURCH'S FRIED CHICKEN INC,USD,1978Q1,1978Q1,111.153,34.001999,,,4.6570001,,53.610001,-3.585,.338,,I,,5812,.041897204,.086868122,027017417,27017417,CHURCHS FRIED CHICKEN INC,227000000,TX,5812,0,0,0,0,0,,,,,0,0,,,,0,0,0,,0,,0,,0,,0,,,0,,,,0,0,0,,0,0,,,,,,0,1,,,,,,,,Matched (3)
3051,AZ,19780731,1978,1,INDL,C,D,STD,CRK.2,172585101,CIRCLE K CORP,USD,1978Q2,1978Q1,115.664,68.709,,,2.9070001,,108.152,12.111,,936287,I,,5412,.025133144,.026878837,008948143,74476607,CIRCLE K CORPORATION THE,363000000,AZ,5411,,,,1,0,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,0,,,,0,0,,,,,,0,0,,,0,,,,Matched (3)
3054,VA,19780531,1978,1,INDL,C,D,STD,CCTYQ,172737108,CIRCUIT CITY STORES INC,USD,1978Q2,1978Q1,28.639,19.974001,,,1.809,,23.103001,9.7959995,.081,104599,I,,5731,.063165613,.078301519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
3090,OH,19780430,1978,1,INDL,C,D,STD,CLK.1,180688103,CLARK CONSOLIDATED INDS,USD,1978Q1,1978Q1,11.098,5.6900001,,,2.8599999,,6.3099999,5.9629998,.086999997,,I,,5063,.25770408,.4532488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
3164,OH,19780430,1978,1,INDL,C,D,STD,CNJ,193290103,COLE NATIONAL CORP,USD,1978Q1,1978Q1,45.724998,24.122,,,5.3340001,,32.412998,14.206,.26100001,769644,I,,5990,.11665391,.1645636,004460432,60421146,COLE NATIONAL CORPORATION,127800000,OH,3851,,,,,0,0,,,0,0,,,0,,0,0,,0,0,,0,,,,0,,,0,,,,0,,,.053208139,.94679189,0,,0,0,,,,0,,,,,,,,Matched (3)
3177,CA,19780731,1978,1,INDL,C,D,STD,CF.5,194846101,COLLINS FOODS INTERNATIONAL,USD,1978Q2,1978Q1,95.775002,56.008999,,,6.0409999,,51.318001,8.8559999,.67900002,350929,I,Los Angeles,5812,.063074917,.11771698,059813394,66564105,COLLINS FOOD INTERNATIONAL INC,0,CA,5812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matched (3)
3184,NJ,19780331,1978,1,INDL,C,D,STD,CCOM,12504V107,CCOM GROUP INC,USD,1978Q1,1978Q1,42.855999,41.259998,,,6.7969999,,7.4229999,15.316,1.023,21828,I,,5070,.1586009,.91566753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
3495,OH,19780430,1978,1,INDL,C,D,STD,3COKU,216245100,COOK UNITED INC,USD,1978Q1,1978Q1,193.96899,125.201,,,7.3099999,,110.118,62.960999,,24381,I,,5331,.037686434,.066383332,007900400,30937544,COOK UNITED INC,418000000,OH,5411,,,,,,,,,,0,0,,0,,0,0,,0,,,0,,.040669855,,,,,0,,,,,,,0,.95933014,0,,0,,0,,0,,,,,,,0,,Matched (3)
3578,MA,19771231,1978,1,INDL,C,D,STD,CRM.3,224273102,CRAMER ELECTRONICS INC,USD,1977Q4,1978Q1,61.966,41.945,,,22.319,,35.622002,18.813999,.796,25423,I,,5065,.36018139,.62655103,006955355,59724112,CRAMER ELECTRONICS INC,153000000,MA,5999,,0,,0,0,0,0,,,0,0,,,,0,,,,,1,0,,,0,,,,0,,,,0,,,0,0,,,,,,,,0,,,,0,,,,Matched (3)
